 m0 m1 h0 h1 h2 h3
0 -10.0 -10.0 0.0 0.0 0.0 4060
1 -10.0 -9.0 0 0.0 0.0 3215
2 -10.0 -8.0 0 0.0 0.0 2484
3 -10.0 -7.0 0 0.0 0.0 1861
4 -10.0 -6.0 0 0.0 0.0 1340
5 -10.0 -5.0 0 0.0 0.0 915
6 -10.0 -4.0 0 0.0 0.0 580
7 -10.0 -3.0 0 0.0 0.0 329
8 -10.0 -2.0 0 0.0 0.0 156
9 -10.0 -1.0 0 0.0 0.0 55
10 -10.0 0.0 0 9.0 0.0 11
11 -10.0 1.0 0 45.0 0.0 0
12 -10.0 2.0 0 124 0.0 0
13 -10.0 3.0 0 251 0 0
14 -10.0 4.0 0 420 0 0
15 -10.0 5.0 0 625 0 0
16 -10.0 6.0 0 860 0 0
17 -10.0 7.0 0 1119 0 0
18 -10.0 8.0 0 1396 0 0
19 -10.0 9.0 0 1685 0 0
20 -10.0 10.0 0 1980 0 0
21 -9.0 -10.0 0 0 0 3758
22 -9.0 -9.0 0 0 0 2970
23 -9.0 -8.0 0 0 0 2290
24 -9.0 -7.0 0 0 0 1712
25 -9.0 -6.0 0 0 0 1230
26 -9.0 -5.0 0 0 0 838
27 -9.0 -4.0 0 0 0 530
28 -9.0 -3.0 0 0 0 300
29 -9.0 -2.0 0 0 0 142
30 -9.0 -1.0 0 0 0 50
31 -9.0 0.0 0 8 0 10
32 -9.0 1.0 0 40 0 0
33 -9.0 2.0 0 110 0 0
34 -9.0 3.0 0 222 0 0
35 -9.0 4.0 0 370 0 0
36 -9.0 5.0 0 548 0 0
37 -9.0 6.0 0 750 0 0
38 -9.0 7.0 0 970 0 0
39 -9.0 8.0 0 1202 0 0
40 -9.0 9.0 0 1440 0 0
41 -9.0 10.0 0 1678 0 0
42 -8.0 -10.0 0 0 0 3456
43 -8.0 -9.0 0 0 0 2725
44 -8.0 -8.0 0 0 0 2096
45 -8.0 -7.0 0 0 0 1563
46 -8.0 -6.0 0 0 0 1120
47 -8.0 -5.0 0 0 0 761
48 -8.0 -4.0 0 0 0 480
49 -8.0 -3.0 0 0 0 271
50 -8.0 -2.0 0 0 0 128
51 -8.0 -1.0 0 0 0 45
52 -8.0 0.0 0 7 0 9
53 -8.0 1.0 0 35 0 0
54 -8.0 2.0 0 96 0 0
55 -8.0 3.0 0 193 0 0
56 -8.0 4.0 0 320 0 0
57 -8.0 5.0 0 471 0 0
58 -8.0 6.0 0 640 0 0
59 -8.0 7.0 0 821 0 0
60 -8.0 8.0 0 1008 0 0
61 -8.0 9.0 0 1195 0 0
62 -8.0 10.0 0 1376 0 0
63 -7.0 -10.0 0 0 0 3154
64 -7.0 -9.0 0 0 0 2480
65 -7.0 -8.0 0 0 0 1902
66 -7.0 -7.0 0 0 0 1414
67 -7.0 -6.0 0 0 0 1010
68 -7.0 -5.0 0 0 0 684
69 -7.0 -4.0 0 0 0 430
70 -7.0 -3.0 0 0 0 242
71 -7.0 -2.0 0 0 0 114
72 -7.0 -1.0 0 0 0 40
73 -7.0 0.0 0 6 0 8
74 -7.0 1.0 0 30 0 0
75 -7.0 2.0 0 82 0 0
76 -7.0 3.0 0 164 0 0
77 -7.0 4.0 0 270 0 0
78 -7.0 5.0 0 394 0 0
79 -7.0 6.0 0 530 0 0
80 -7.0 7.0 0 672 0 0
81 -7.0 8.0 0 814 0 0
82 -7.0 9.0 0 950 0 0
83 -7.0 10.0 0 1074 0 0
84 -6.0 -10.0 0 0 0 2852
85 -6.0 -9.0 0 0 0 2235
86 -6.0 -8.0 0 0 0 1708
87 -6.0 -7.0 0 0 0 1265
88 -6.0 -6.0 0 0 0 900
89 -6.0 -5.0 0 0 0 607
90 -6.0 -4.0 0 0 0 380
91 -6.0 -3.0 0 0 0 213
92 -6.0 -2.0 0 0 0 100
93 -6.0 -1.0 0 0 0 35
94 -6.0 0.0 0 5 0 7
95 -6.0 1.0 0 25 0 0
96 -6.0 2.0 0 68 0 0
97 -6.0 3.0 0 135 0 0
98 -6.0 4.0 0 220 0 0
99 -6.0 5.0 0 317 0 0
100 -6.0 6.0 0 420 0 0
101 -6.0 7.0 0 523 0 0
102 -6.0 8.0 0 620 0 0
103 -6.0 9.0 0 705 0 0
104 -6.0 10.0 0 772 0 0
105 -5.0 -10.0 0 0 0 2550
106 -5.0 -9.0 0 0 0 1990
107 -5.0 -8.0 0 0 0 1514
108 -5.0 -7.0 0 0 0 1116
109 -5.0 -6.0 0 0 0 790
110 -5.0 -5.0 0 0 0 530
111 -5.0 -4.0 0 0 0 330
112 -5.0 -3.0 0 0 0 184
113 -5.0 -2.0 0 0 0 86
114 -5.0 -1.0 0 0 0 30
115 -5.0 0.0 0 4 0 6
116 -5.0 1.0 0 20 0 0
117 -5.0 2.0 0 54 0 0
118 -5.0 3.0 0 106 0 0
119 -5.0 4.0 0 170 0 0
120 -5.0 5.0 0 240 0 0
121 -5.0 6.0 0 310 0 0
122 -5.0 7.0 0 374 0 0
123 -5.0 8.0 0 426 0 0
124 -5.0 9.0 0 460 0 0
125 -5.0 10.0 6 476 0 0
126 -4.0 -10.0 0 0 0 2248
127 -4.0 -9.0 0 0 0 1745
128 -4.0 -8.0 0 0 0 1320
129 -4.0 -7.0 0 0 0 967
130 -4.0 -6.0 0 0 0 680
131 -4.0 -5.0 0 0 0 453
132 -4.0 -4.0 0 0 0 280
133 -4.0 -3.0 0 0 0 155
134 -4.0 -2.0 0 0 0 72
135 -4.0 -1.0 0 0 0 25
136 -4.0 0.0 0 3 0 5
137 -4.0 1.0 0 15 0 0
138 -4.0 2.0 0 40 0 0
139 -4.0 3.0 0 77 0 0
140 -4.0 4.0 0 120 0 0
141 -4.0 5.0 0 163 0 0
142 -4.0 6.0 0 200 0 0
143 -4.0 7.0 0 225 0 0
144 -4.0 8.0 5 237 0 0
145 -4.0 9.0 25 240 0 0
146 -4.0 10.0 72 240 0 0
147 -3.0 -10.0 0 0 0 1946
148 -3.0 -9.0 0 0 0 1500
149 -3.0 -8.0 0 0 0 1126
150 -3.0 -7.0 0 0 0 818
151 -3.0 -6.0 0 0 0 570
152 -3.0 -5.0 0 0 0 376
153 -3.0 -4.0 0 0 0 230
154 -3.0 -3.0 0 0 0 126
155 -3.0 -2.0 0 0 0 58
156 -3.0 -1.0 0 0 0 20
157 -3.0 0.0 0 2 0 4
158 -3.0 1.0 0 10 0 0
159 -3.0 2.0 0 26 0 0
160 -3.0 3.0 0 48 0 0
161 -3.0 4.0 0 70 0 0
162 -3.0 5.0 0 86 0 0
163 -3.0 6.0 4 94 0 0
164 -3.0 7.0 20 96 0 0
165 -3.0 8.0 58 96 0 0
166 -3.0 9.0 126 96 0 0
167 -3.0 10.0 230 96 0 0
168 -2.0 -10.0 0 0 0 1644
169 -2.0 -9.0 0 0 0 1255
170 -2.0 -8.0 0 0 0 932
171 -2.0 -7.0 0 0 0 669
172 -2.0 -6.0 0 0 0 460
173 -2.0 -5.0 0 0 0 299
174 -2.0 -4.0 0 0 0 180
175 -2.0 -3.0 0 0 0 97
176 -2.0 -2.0 0 0 0 44
177 -2.0 -1.0 0 0 0 15
178 -2.0 0.0 0 1 0 3
179 -2.0 1.0 0 5 0 0
180 -2.0 2.0 0 12 0 0
181 -2.0 3.0 0 19 0 0
182 -2.0 4.0 3 23 0 0
183 -2.0 5.0 15 24 0 0
184 -2.0 6.0 44 24 0 0
185 -2.0 7.0 97 24 0 0
186 -2.0 8.0 180 24 0 0
187 -2.0 9.0 299 24 0 0
188 -2.0 10.0 460 24 0 0
189 -1.0 -10.0 0 0 0 1342
190 -1.0 -9.0 0 0 0 1010
191 -1.0 -8.0 0 0 0 738
192 -1.0 -7.0 0 0 0 520
193 -1.0 -6.0 0 0 0 350
194 -1.0 -5.0 0 0 0 222
195 -1.0 -4.0 0 0 0 130
196 -1.0 -3.0 0 0 0 68
197 -1.0 -2.0 0 0 0 30
198 -1.0 -1.0 0 0 0 10
199 -1.0 0.0 0 0 0 2
200 -1.0 1.0 0 0 0 0
201 -1.0 2.0 2 0 0 0
202 -1.0 3.0 10 0 0 0
203 -1.0 4.0 30 0 0 0
204 -1.0 5.0 68 0 0 0
205 -1.0 6.0 130 0 0 0
206 -1.0 7.0 222 0 0 0
207 -1.0 8.0 350 0 0 0
208 -1.0 9.0 520 0 0 0
209 -1.0 10.0 738 0 0 0
210 0.0 -10.0 0 0 0 1040
211 0.0 -9.0 0 0 0 765
212 0.0 -8.0 0 0 0 544
213 0.0 -7.0 0 0 0 371
214 0.0 -6.0 0 0 0 240
215 0.0 -5.0 0 0 0 145
216 0.0 -4.0 0 0 0 80
217 0.0 -3.0 0 0 0 39
218 0.0 -2.0 0 0 0 16
219 0.0 -1.0 0 0 0 5
220 0.0 0.0 1 0 0 1
221 0.0 1.0 5 0 0 0
222 0.0 2.0 16 0 0 0
223 0.0 3.0 39 0 0 0
224 0.0 4.0 80 0 0 0
225 0.0 5.0 145 0 0 0
226 0.0 6.0 240 0 0 0
227 0.0 7.0 371 0 0 0
228 0.0 8.0 544 0 0 0
229 0.0 9.0 765 0 0 0
230 0.0 10.0 1040 0 0 0
231 1.0 -10.0 0 0 0 738
232 1.0 -9.0 0 0 0 520
233 1.0 -8.0 0 0 0 350
234 1.0 -7.0 0 0 0 222
235 1.0 -6.0 0 0 0 130
236 1.0 -5.0 0 0 0 68
237 1.0 -4.0 0 0 0 30
238 1.0 -3.0 0 0 0 10
239 1.0 -2.0 0 0 0 2
240 1.0 -1.0 0 0 0 0
241 1.0 0.0 2 0 0 0
242 1.0 1.0 10 0 0 0
243 1.0 2.0 30 0 0 0
244 1.0 3.0 68 0 0 0
245 1.0 4.0 130 0 0 0
246 1.0 5.0 222 0 0 0
247 1.0 6.0 350 0 0 0
248 1.0 7.0 520 0 0 0
249 1.0 8.0 738 0 0 0
250 1.0 9.0 1010 0 0 0
251 1.0 10.0 1342 0 0 0
252 2.0 -10.0 0 0 24 460
253 2.0 -9.0 0 0 24 299
254 2.0 -8.0 0 0 24 180
255 2.0 -7.0 0 0 24 97
256 2.0 -6.0 0 0 24 44
257 2.0 -5.0 0 0 24 15
258 2.0 -4.0 0 0 23 3
259 2.0 -3.0 0 0 19 0
260 2.0 -2.0 0 0 12 0
261 2.0 -1.0 0 0 5 0
262 2.0 0.0 3 0 1 0
263 2.0 1.0 15 0 0 0
264 2.0 2.0 44 0 0 0
265 2.0 3.0 97 0 0 0
266 2.0 4.0 180 0 0 0
267 2.0 5.0 299 0 0 0
268 2.0 6.0 460 0 0 0
269 2.0 7.0 669 0 0 0
270 2.0 8.0 932 0 0 0
271 2.0 9.0 1255 0 0 0
272 2.0 10.0 1644 0 0 0
273 3.0 -10.0 0 0 96 230
274 3.0 -9.0 0 0 96 126
275 3.0 -8.0 0 0 96 58
276 3.0 -7.0 0 0 96 20
277 3.0 -6.0 0 0 94 4
278 3.0 -5.0 0 0 86 0
279 3.0 -4.0 0 0 70 0
280 3.0 -3.0 0 0 48 0
281 3.0 -2.0 0 0 26 0
282 3.0 -1.0 0 0 10 0
283 3.0 0.0 4 0 2 0
284 3.0 1.0 20 0 0 0
285 3.0 2.0 58 0 0 0
286 3.0 3.0 126 0 0 0
287 3.0 4.0 230 0 0 0
288 3.0 5.0 376 0 0 0
289 3.0 6.0 570 0 0 0
290 3.0 7.0 818 0 0 0
291 3.0 8.0 1126 0 0 0
292 3.0 9.0 1500 0 0 0
293 3.0 10.0 1946 0 0 0
294 4.0 -10.0 0 0 240 72
295 4.0 -9.0 0 0 240 25
296 4.0 -8.0 0 0 237 5
297 4.0 -7.0 0 0 225 0
298 4.0 -6.0 0 0 200 0
299 4.0 -5.0 0 0 163 0
300 4.0 -4.0 0 0 120 0
301 4.0 -3.0 0 0 77 0
302 4.0 -2.0 0 0 40 0
303 4.0 -1.0 0 0 15 0
304 4.0 0.0 5 0 3 0
305 4.0 1.0 25 0 0 0
306 4.0 2.0 72 0 0 0
307 4.0 3.0 155 0 0 0
308 4.0 4.0 280 0 0 0
309 4.0 5.0 453 0 0 0
310 4.0 6.0 680 0 0 0
311 4.0 7.0 967 0 0 0
312 4.0 8.0 1320 0 0 0
313 4.0 9.0 1745 0 0 0
314 4.0 10.0 2248 0 0 0
315 5.0 -10.0 0 0 476 6
316 5.0 -9.0 0 0 460 0
317 5.0 -8.0 0 0 426 0
318 5.0 -7.0 0 0 374 0
319 5.0 -6.0 0 0 310 0
320 5.0 -5.0 0 0 240 0
321 5.0 -4.0 0 0 170 0
322 5.0 -3.0 0 0 106 0
323 5.0 -2.0 0 0 54 0
324 5.0 -1.0 0 0 20 0
325 5.0 0.0 6 0 4 0
326 5.0 1.0 30 0 0 0
327 5.0 2.0 86 0 0 0
328 5.0 3.0 184 0 0 0
329 5.0 4.0 330 0 0 0
330 5.0 5.0 530 0 0 0
331 5.0 6.0 790 0 0 0
332 5.0 7.0 1116 0 0 0
333 5.0 8.0 1514 0 0 0
334 5.0 9.0 1990 0 0 0
335 5.0 10.0 2550 0 0 0
336 6.0 -10.0 0 0 772 0
337 6.0 -9.0 0 0 705 0
338 6.0 -8.0 0 0 620 0
339 6.0 -7.0 0 0 523 0
340 6.0 -6.0 0 0 420 0
341 6.0 -5.0 0 0 317 0
342 6.0 -4.0 0 0 220 0
343 6.0 -3.0 0 0 135 0
344 6.0 -2.0 0 0 68 0
345 6.0 -1.0 0 0 25 0
346 6.0 0.0 7 0 5 0
347 6.0 1.0 35 0 0 0
348 6.0 2.0 100 0 0 0
349 6.0 3.0 213 0 0 0
350 6.0 4.0 380 0 0 0
351 6.0 5.0 607 0 0 0
352 6.0 6.0 900 0 0 0
353 6.0 7.0 1265 0 0 0
354 6.0 8.0 1708 0 0 0
355 6.0 9.0 2235 0 0 0
356 6.0 10.0 2852 0 0 0
357 7.0 -10.0 0 0 1074 0
358 7.0 -9.0 0 0 950 0
359 7.0 -8.0 0 0 814 0
360 7.0 -7.0 0 0 672 0
361 7.0 -6.0 0 0 530 0
362 7.0 -5.0 0 0 394 0
363 7.0 -4.0 0 0 270 0
364 7.0 -3.0 0 0 164 0
365 7.0 -2.0 0 0 82 0
366 7.0 -1.0 0 0 30 0
367 7.0 0.0 8 0 6 0
368 7.0 1.0 40 0 0 0
369 7.0 2.0 114 0 0 0
370 7.0 3.0 242 0 0 0
371 7.0 4.0 430 0 0 0
372 7.0 5.0 684 0 0 0
373 7.0 6.0 1010 0 0 0
374 7.0 7.0 1414 0 0 0
375 7.0 8.0 1902 0 0 0
376 7.0 9.0 2480 0 0 0
377 7.0 10.0 3154 0 0 0
378 8.0 -10.0 0 0 1376 0
379 8.0 -9.0 0 0 1195 0
380 8.0 -8.0 0 0 1008 0
381 8.0 -7.0 0 0 821 0
382 8.0 -6.0 0 0 640 0
383 8.0 -5.0 0 0 471 0
384 8.0 -4.0 0 0 320 0
385 8.0 -3.0 0 0 193 0
386 8.0 -2.0 0 0 96 0
387 8.0 -1.0 0 0 35 0
388 8.0 0.0 9 0 7 0
389 8.0 1.0 45 0 0 0
390 8.0 2.0 128 0 0 0
391 8.0 3.0 271 0 0 0
392 8.0 4.0 480 0 0 0
393 8.0 5.0 761 0 0 0
394 8.0 6.0 1120 0 0 0
395 8.0 7.0 1563 0 0 0
396 8.0 8.0 2096 0 0 0
397 8.0 9.0 2725 0 0 0
398 8.0 10.0 3456 0 0 0
399 9.0 -10.0 0 0 1678 0
400 9.0 -9.0 0 0 1440 0
401 9.0 -8.0 0 0 1202 0
402 9.0 -7.0 0 0 970 0
403 9.0 -6.0 0 0 750 0
404 9.0 -5.0 0 0 548 0
405 9.0 -4.0 0 0 370 0
406 9.0 -3.0 0 0 222 0
407 9.0 -2.0 0 0 110 0
408 9.0 -1.0 0 0 40 0
409 9.0 0.0 10 0 8 0
410 9.0 1.0 50 0 0 0
411 9.0 2.0 142 0 0 0
412 9.0 3.0 300 0 0 0
413 9.0 4.0 530 0 0 0
414 9.0 5.0 838 0 0 0
415 9.0 6.0 1230 0 0 0
416 9.0 7.0 1712 0 0 0
417 9.0 8.0 2290 0 0 0
418 9.0 9.0 2970 0 0 0
419 9.0 10.0 3758 0 0 0
420 10.0 -10.0 0 0 1980 0
421 10.0 -9.0 0 0 1685 0
422 10.0 -8.0 0 0 1396 0
423 10.0 -7.0 0 0 1119 0
424 10.0 -6.0 0 0 860 0
425 10.0 -5.0 0 0 625 0
426 10.0 -4.0 0 0 420 0
427 10.0 -3.0 0 0 251 0
428 10.0 -2.0 0 0 124 0
429 10.0 -1.0 0 0.0 45.0 0
430 10.0 0.0 11 0.0 9.0 0
431 10.0 1.0 55 0.0 0.0 0
432 10.0 2.0 156 0.0 0.0 0
433 10.0 3.0 329 0.0 0.0 0
434 10.0 4.0 580 0.0 0.0 0
435 10.0 5.0 915 0.0 0.0 0
436 10.0 6.0 1340 0.0 0.0 0
437 10.0 7.0 1861 0.0 0.0 0
438 10.0 8.0 2484 0.0 0.0 0
439 10.0 9.0 3215 0.0 0.0 0
440 10.0 10.0 4060 0.0 0.0 0
