 m0 m1 h0 h1 h2 h3
158 -3.0 1.0 0 10 0 0
159 -3.0 2.0 0 28 0 0
160 -3.0 3.0 0 56 0 0
161 -3.0 4.0 0 90 0 0
162 -3.0 5.0 0 126 0 0
163 -3.0 6.0 0 160 0 0
164 -3.0 7.0 0 188 0 0
165 -3.0 8.0 0 206 0 0
166 -3.0 9.0 4 214 0 0
167 -3.0 10.0 20 216 0 0
168 -2.0 -10.0 0 0 0 1314
169 -2.0 -9.0 0 0 0 1015
170 -2.0 -8.0 0 0 0 764
171 -2.0 -7.0 0 0 0 557
172 -2.0 -6.0 0 0 0 390
173 -2.0 -5.0 0 0 0 259
174 -2.0 -4.0 0 0 0 160
175 -2.0 -3.0 0 0 0 89
176 -2.0 -2.0 0 0 0 42
177 -2.0 -1.0 0 0 0 15
178 -2.0 0.0 0 1 0 3
179 -2.0 1.0 0 5 0 0
180 -2.0 2.0 0 14 0 0
181 -2.0 3.0 0 27 0 0
182 -2.0 4.0 0 40 0 0
183 -2.0 5.0 0 49 0 0
184 -2.0 6.0 3 53 0 0
185 -2.0 7.0 15 54 0 0
186 -2.0 8.0 42 54 0 0
187 -2.0 9.0 89 54 0 0
188 -2.0 10.0 160 54 0 0
189 -1.0 -10.0 0 0 0 1012
190 -1.0 -9.0 0 0 0 770
191 -1.0 -8.0 0 0 0 570
192 -1.0 -7.0 0 0 0 408
193 -1.0 -6.0 0 0 0 280
194 -1.0 -5.0 0 0 0 182
195 -1.0 -4.0 0 0 0 110
196 -1.0 -3.0 0 0 0 60
197 -1.0 -2.0 0 0 0 28
198 -1.0 -1.0 0 0 0 10
199 -1.0 0.0 0 0 0 2
200 -1.0 1.0 0 0 0 0
201 -1.0 2.0 0 0 0 0
202 -1.0 3.0 2 0 0 0
203 -1.0 4.0 10 0 0 0
204 -1.0 5.0 28 0 0 0
205 -1.0 6.0 60 0 0 0
206 -1.0 7.0 110 0 0 0
207 -1.0 8.0 182 0 0 0
208 -1.0 9.0 280 0 0 0
209 -1.0 10.0 408 0 0 0
210 0.0 -10.0 0 0 0 710
211 0.0 -9.0 0 0 0 525
212 0.0 -8.0 0 0 0 376
213 0.0 -7.0 0 0 0 259
214 0.0 -6.0 0 0 0 170
215 0.0 -5.0 0 0 0 105
216 0.0 -4.0 0 0 0 60
217 0.0 -3.0 0 0 0 31
218 0.0 -2.0 0 0 0 14
219 0.0 -1.0 0 0 0 5
220 0.0 0.0 1 0 0 1
221 0.0 1.0 5 0 0 0
222 0.0 2.0 14 0 0 0
223 0.0 3.0 31 0 0 0
224 0.0 4.0 60 0 0 0
225 0.0 5.0 105 0 0 0
226 0.0 6.0 170 0 0 0
227 0.0 7.0 259 0 0 0
228 0.0 8.0 376 0 0 0
229 0.0 9.0 525 0 0 0
230 0.0 10.0 710 0 0 0
231 1.0 -10.0 0 0 0 408
232 1.0 -9.0 0 0 0 280
233 1.0 -8.0 0 0 0 182
234 1.0 -7.0 0 0 0 110
235 1.0 -6.0 0 0 0 60
236 1.0 -5.0 0 0 0 28
237 1.0 -4.0 0 0 0 10
238 1.0 -3.0 0 0 0 2
239 1.0 -2.0 0 0 0 0
240 1.0 -1.0 0 0 0 0
241 1.0 0.0 2 0 0 0
242 1.0 1.0 10 0 0 0
243 1.0 2.0 28 0 0 0
244 1.0 3.0 60 0 0 0
245 1.0 4.0 110 0 0 0
246 1.0 5.0 182 0 0 0
247 1.0 6.0 280 0 0 0
248 1.0 7.0 408 0 0 0
249 1.0 8.0 570 0 0 0
250 1.0 9.0 770 0 0 0
251 1.0 10.0 1012 0 0 0
252 2.0 -10.0 0 0 54 160
253 2.0 -9.0 0 0 54 89
254 2.0 -8.0 0 0 54 42
255 2.0 -7.0 0 0 54 15
256 2.0 -6.0 0 0 53 3
257 2.0 -5.0 0 0 49 0
258 2.0 -4.0 0 0 40 0
259 2.0 -3.0 0 0 27 0
260 2.0 -2.0 0 0 14 0
261 2.0 -1.0 0 0 5 0
262 2.0 0.0 3 0 1 0
263 2.0 1.0 15 0 0 0
264 2.0 2.0 42 0 0 0
265 2.0 3.0 89 0 0 0
266 2.0 4.0 160 0 0 0
267 2.0 5.0 259 0 0 0
268 2.0 6.0 390 0 0 0
269 2.0 7.0 557 0 0 0
270 2.0 8.0 764 0 0 0
271 2.0 9.0 1015 0 0 0
272 2.0 10.0 1314 0 0 0
273 3.0 -10.0 0 0 216 20
274 3.0 -9.0 0 0 214 4
275 3.0 -8.0 0 0 206 0
276 3.0 -7.0 0 0 188 0
277 3.0 -6.0 0 0 160 0
278 3.0 -5.0 0 0 126 0
279 3.0 -4.0 0 0 90 0
280 3.0 -3.0 0 0 56 0
281 3.0 -2.0 0 0 28 0
282 3.0 -1.0 0 0 10 0
283 3.0 0.0 4 0 2 0
284 3.0 1.0 20 0 0 0
285 3.0 2.0 56 0 0 0
286 3.0 3.0 118 0 0 0
287 3.0 4.0 210 0 0 0
288 3.0 5.0 336 0 0 0
289 3.0 6.0 500 0 0 0
290 3.0 7.0 706 0 0 0
291 3.0 8.0 958 0 0 0
292 3.0 9.0 1260 0 0 0
293 3.0 10.0 1616 0 0 0
294 4.0 -10.0 0 0 498 0
295 4.0 -9.0 0 0 455 0
296 4.0 -8.0 0 0 400 0
297 4.0 -7.0 0 0 337 0
298 4.0 -6.0 0 0 270 0
299 4.0 -5.0 0 0 203 0
300 4.0 -4.0 0 0 140 0
301 4.0 -3.0 0 0 85 0
302 4.0 -2.0 0 0 42 0
303 4.0 -1.0 0 0 15 0
304 4.0 0.0 5 0 3 0
305 4.0 1.0 25 0 0 0
306 4.0 2.0 70 0 0 0
307 4.0 3.0 147 0 0 0
308 4.0 4.0 260 0 0 0
309 4.0 5.0 413 0 0 0
310 4.0 6.0 610 0 0 0
311 4.0 7.0 855 0 0 0
312 4.0 8.0 1152 0 0 0
313 4.0 9.0 1505 0 0 0
314 4.0 10.0 1918 0 0 0
315 5.0 -10.0 0 0 800 0
316 5.0 -9.0 0 0 700 0
317 5.0 -8.0 0 0 594 0
318 5.0 -7.0 0 0 486 0
319 5.0 -6.0 0 0 380 0
320 5.0 -5.0 0 0 280 0
321 5.0 -4.0 0 0 190 0
322 5.0 -3.0 0 0 114 0
323 5.0 -2.0 0 0 56 0
324 5.0 -1.0 0 0 20 0
325 5.0 0.0 6 0 4 0
326 5.0 1.0 30 0 0 0
327 5.0 2.0 84 0 0 0
328 5.0 3.0 176 0 0 0
329 5.0 4.0 310 0 0 0
330 5.0 5.0 490 0 0 0
331 5.0 6.0 720 0 0 0
332 5.0 7.0 1004 0 0 0
333 5.0 8.0 1346 0 0 0
334 5.0 9.0 1750 0 0 0
335 5.0 10.0 2220 0 0 0
336 6.0 -10.0 0 0 1102 0
337 6.0 -9.0 0 0 945 0
338 6.0 -8.0 0 0 788 0
339 6.0 -7.0 0 0 635 0
340 6.0 -6.0 0 0 490 0
341 6.0 -5.0 0 0 357 0
342 6.0 -4.0 0 0 240 0
343 6.0 -3.0 0 0 143 0
344 6.0 -2.0 0 0 70 0
345 6.0 -1.0 0 0 25 0
346 6.0 0.0 7 0 5 0
347 6.0 1.0 35 0 0 0
348 6.0 2.0 98 0 0 0
349 6.0 3.0 205 0 0 0
350 6.0 4.0 360 0 0 0
351 6.0 5.0 567 0 0 0
352 6.0 6.0 830 0 0 0
353 6.0 7.0 1153 0 0 0
354 6.0 8.0 1540 0 0 0
355 6.0 9.0 1995 0 0 0
356 6.0 10.0 2522 0 0 0
357 7.0 -10.0 0 0 1404 0
358 7.0 -9.0 0 0 1190 0
359 7.0 -8.0 0 0 982 0
360 7.0 -7.0 0 0 784 0
361 7.0 -6.0 0 0 600 0
362 7.0 -5.0 0 0 434 0
363 7.0 -4.0 0 0 290 0
364 7.0 -3.0 0 0 172 0
365 7.0 -2.0 0 0 84 0
366 7.0 -1.0 0 0 30 0
367 7.0 0.0 8 0 6 0
368 7.0 1.0 40 0 0 0
369 7.0 2.0 112 0 0 0
370 7.0 3.0 234 0 0 0
371 7.0 4.0 410 0 0 0
372 7.0 5.0 644 0 0 0
373 7.0 6.0 940 0 0 0
374 7.0 7.0 1302 0 0 0
375 7.0 8.0 1734 0 0 0
376 7.0 9.0 2240 0 0 0
377 7.0 10.0 2824 0 0 0
378 8.0 -10.0 0 0 1706 0
379 8.0 -9.0 0 0 1435 0
380 8.0 -8.0 0 0 1176 0
381 8.0 -7.0 0 0 933 0
382 8.0 -6.0 0 0 710 0
383 8.0 -5.0 0 0 511 0
384 8.0 -4.0 0 0 340 0
385 8.0 -3.0 0 0 201 0
386 8.0 -2.0 0 0 98 0
387 8.0 -1.0 0 0 35 0
388 8.0 0.0 9 0 7 0
389 8.0 1.0 45 0 0 0
390 8.0 2.0 126 0 0 0
391 8.0 3.0 263 0 0 0
392 8.0 4.0 460 0 0 0
393 8.0 5.0 721 0 0 0
394 8.0 6.0 1050 0 0 0
395 8.0 7.0 1451 0 0 0
396 8.0 8.0 1928 0 0 0
397 8.0 9.0 2485 0 0 0
398 8.0 10.0 3126 0 0 0
399 9.0 -10.0 0 0 2008 0
400 9.0 -9.0 0 0 1680 0
401 9.0 -8.0 0 0 1370 0
402 9.0 -7.0 0 0 1082 0
403 9.0 -6.0 0 0 820 0
404 9.0 -5.0 0 0 588 0
405 9.0 -4.0 0 0 390 0
406 9.0 -3.0 0 0 230 0
407 9.0 -2.0 0 0 112 0
408 9.0 -1.0 0 0 40 0
409 9.0 0.0 10 0 8 0
410 9.0 1.0 50 0 0 0
411 9.0 2.0 140 0 0 0
412 9.0 3.0 292 0 0 0
413 9.0 4.0 510 0 0 0
414 9.0 5.0 798 0 0 0
415 9.0 6.0 1160 0 0 0
416 9.0 7.0 1600 0 0 0
417 9.0 8.0 2122 0 0 0
418 9.0 9.0 2730 0 0 0
419 9.0 10.0 3428 0 0 0
420 10.0 -10.0 0 0 2310 0
421 10.0 -9.0 0 0 1925 0
422 10.0 -8.0 0 0 1564 0
423 10.0 -7.0 0 0 1231 0
424 10.0 -6.0 0 0 930 0
425 10.0 -5.0 0 0 665 0
426 10.0 -4.0 0 0 440 0
427 10.0 -3.0 0 0 259 0
428 10.0 -2.0 0 0 126 0
429 10.0 -1.0 0 0.0 45.0 0
430 10.0 0.0 11 0.0 9.0 0
431 10.0 1.0 55 0.0 0.0 0
432 10.0 2.0 154 0.0 0.0 0
433 10.0 3.0 321 0.0 0.0 0
434 10.0 4.0 560 0.0 0.0 0
435 10.0 5.0 875 0.0 0.0 0
436 10.0 6.0 1270 0.0 0.0 0
437 10.0 7.0 1749 0.0 0.0 0
438 10.0 8.0 2316 0.0 0.0 0
439 10.0 9.0 2975 0.0 0.0 0
440 10.0 10.0 3730 0.0 0.0 0
